time,open,high,low,close,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,F1,F2,F3,F4,F5,G100,G150,G200,Kernel Regression Estimate,Buy,Sell,StopBuy,StopSell,Volume,Volume MA,MACD,Signal Line,Histogram,Cross,Main Line,Gobble Line
1733854500,4.522850577606741,4.63,4.522850577606741,4.595000000000001,4.450497170262375,4.452493135615576,4.395326959734197,4.343209535203989,4.37160958227363,4.492969086591396,4.506940004372201,4.526847443086099,4.554446429059045,4.568644673453929,4.577028878994271,4.572367982260222,4.5908439574757,4.585295768704087,4.54995765047728,4.510768736855249,4.489922263182179,4.461449020928606,4.398142459016086,4.3538358864313595,4.3203258648034,4.299421194500544,4.2884062127686216,4.284364527643043,4.266862780425746,4.251127281588608,4.239522737808944,4.232215121255455,4.215528188386285,4.191051167797662,4.092091887942789,3.749411287573468,3.569593867690978,4.544665282752461,,,,,955,4851.4,0.017788908701874995,0.03569493264492972,-0.017906023943054725,,0.4812035558562373,0.36057035798852993
1733857200,4.558925288803371,4.6,4.558925288803371,4.579999999999999,4.635023330938702,4.542760250600539,4.5133365340566165,4.455251052535323,4.401572294350928,4.415511873717809,4.513262550069583,4.522950420193014,4.5388669861808335,4.562504119247013,4.574679096861632,4.581861749989641,4.577187624466259,4.593999627008772,4.588610939519729,4.524748351261639,4.492781694766594,4.487614383671877,4.414094711105287,4.373630907979306,4.332328580940214,4.307461084877798,4.298327753435002,4.300419648998149,4.2762825127160395,4.260448370035233,4.246902293530479,4.238683357007014,4.225198404967371,4.202514243082864,4.105448489800584,3.7591842266399627,3.5784248170804087,4.547178164707866,,,,,3400,4987.85,0.01983591230121373,0.029002093319920777,-0.009166181018707045,,0.5016539767562379,0.3758940510394024
1733859900,4.5694626444016855,4.5694626444016855,4.54,4.55125,4.65575219152557,4.645387761232136,4.580424230908881,4.5489404484238545,4.495351280333369,4.443935610546703,4.449831919118918,4.531073755251582,4.5377061725633,4.55055550671531,4.570981216726878,4.581435188083628,4.587545630107789,4.582799379256209,4.598116464643225,4.544584320745202,4.513600568789033,4.498015317678106,4.431178063737449,4.390768889942704,4.3477396363730865,4.318380109078748,4.308386048595375,4.302597243835732,4.286357866324512,4.270386359887623,4.252635468881395,4.244280458041552,4.2336561851403065,4.2125361972153454,4.119767181814523,3.769351653118481,3.5874503916659823,4.547250212569185,,,,,1156,4914.2,0.0181598535659786,0.023114016891073952,-0.004954163325095351,,0.5254751561454157,0.3937434851832991
1733862600,4.5603563222008425,4.5603563222008425,4.51,4.5325,4.601405945006967,4.628579068266269,4.630727155823745,4.585669659433403,4.559433547740474,4.51302705777897,4.466431372612456,4.468778672354925,4.538888443002182,4.544076149807668,4.5551782738327296,4.573516610750221,4.582971400154654,4.588535652600588,4.584039816972927,4.551981786237641,4.522067694196874,4.499546104418303,4.449974593816787,4.401256350755476,4.360085327425259,4.328693431039416,4.315350694856236,4.304084753807213,4.294800427301717,4.277575750187381,4.256465270249191,4.249346488414043,4.244336275457708,4.220598571204895,4.132408548143282,3.7784899320704546,3.5958272200062824,4.545800018982131,,,,,4721,5107.95,0.014801519869894975,0.017702256565350478,-0.002900736695455503,,0.5609161625558472,0.42029976518863815
1733927400,4.546428161100421,4.565,4.41,4.51125,4.588656659300019,4.595031302153494,4.615271598610851,4.620209531692813,4.586267059406723,4.564304066333733,4.523831286567693,4.481709533448402,4.482098448682159,4.543865264631966,4.548128923397877,4.557968139288339,4.5746812298694355,4.583377490093609,4.588543719713884,4.559119012168293,4.524041373080733,4.508819300186641,4.465688741724503,4.411712680309504,4.368566983492351,4.340368132118652,4.322734022340668,4.30870835483489,4.300281248880147,4.28503139514349,4.267039783106132,4.256865515865192,4.248758168142786,4.2296126058301615,4.145688911223964,3.788245585487533,3.604192180228143,4.542413362243263,,,,,2236,5120.05,0.010072891121753358,0.014495370088720014,-0.004422478966966657,,1.5869431665641223,1.364363413381188
1733930100,4.528839080550211,4.528839080550211,4.405,4.4625,4.640082438477318,4.61436954888867,4.610048347594767,4.621474308577468,4.624184113049711,4.595236289251823,4.5751295480685314,4.538362680556396,4.49930652289606,4.497896847661677,4.552612280436086,4.555791716321166,4.564284623841337,4.579352744769999,4.5871578199858565,4.5685142661203875,4.533451812094144,4.512299238160101,4.484696891231622,4.426397665770284,4.383874578277849,4.350711689628031,4.328945096186834,4.316387704458712,4.310504495751248,4.292385732756029,4.275997737019349,4.263564073761492,4.255272120772763,4.2382312953120325,4.159334325241087,3.7980454297667703,3.612205252140868,4.534709629213178,,,,,2007,5118,0.00185770652052053,0.012710538293053611,-0.010852831772533081,,1.823056083142345,1.567359860634887
1733932800,4.495669540275106,4.495669540275106,4.33,4.39875,4.632568595476271,4.636325516976795,4.620435897751203,4.615678409565143,4.623693165957226,4.625581526787473,4.600569475855317,4.5823094289945,4.548830004436383,4.512632730154083,4.510139733826636,4.559275306689437,4.561697630102328,4.569162050386689,4.582900468150417,4.5973814961291035,4.544537314200759,4.514600273298366,4.507054209712642,4.4402945179617745,4.401415603310191,4.3614650394419145,4.336209455885021,4.325441537811853,4.325286842610386,4.301097559376124,4.284664689763367,4.2704517230571515,4.261330992827615,4.247337002800141,4.173790561471254,3.8065541864893575,3.6206360009359146,4.521447071869119,,,,,5242,4984.8,-0.010101219436584152,0.010520647359459703,-0.020621866796043855,,2.1609992208810995,1.8579041363522528
1733935500,4.447209770137553,4.48,4.43,4.45,4.264348404482381,4.448458499979326,4.512333146145323,4.531414024433996,4.545412408548588,4.563802372378086,4.573976795029603,4.558541841933701,4.546980426270932,4.520381844440985,4.4900614278202875,4.48965712304795,4.5365886219042775,4.540458399700904,4.548841140659735,4.584940450619565,4.544749938305881,4.518902542082291,4.504786330659605,4.445457356838837,4.407951503121142,4.367506913590637,4.339019409030553,4.328138245258143,4.321275333429029,4.30486176219766,4.288721429798355,4.270934027610595,4.261994102189024,4.250975975329657,4.183838596126233,3.814032736560719,3.6276790888902757,4.513185268266376,,,,,944,4856.9,-0.013593372344057109,0.007915869694161791,-0.021509242038218898,,2.8039481461107387,2.75283214392468
1733938200,4.448604885068777,4.51,4.42,4.465,4.410225636496635,4.337287020489509,4.435714212151762,4.486806268733151,4.507176346846522,4.522881279873263,4.5418628386807365,4.553507900212983,4.542062263551805,4.533304947293503,4.510367643718767,4.483408445209986,4.4835470086978475,4.527562694375161,4.531776215487286,4.564823949441325,4.543020698359419,4.519585802971815,4.500636139050907,4.4571248129455,4.413025239210042,4.374794429367385,4.344919150658245,4.331336165855427,4.319707184041006,4.309970135840632,4.292882456631324,4.272134712536525,4.264512950674776,4.258938501645976,4.194511430721168,3.8232833164877427,3.635561109514077,4.506726042751775,,,,,2290,3213.3,-0.014385789744268074,0.004937378950702984,-0.019323168694971058,,1.1773491790233224,1.155886091950123
1733940900,4.456802442534388,4.46,4.38,4.415,4.597305658182086,4.50376564733936,4.423959899720367,4.476112073659342,4.508906146622935,4.522197898735784,4.533513333917382,4.548793191118406,4.558374317765106,4.547586603014835,4.539123193737916,4.517612478257379,4.492169769284761,4.491672626518151,4.5322122252956225,4.5686343264411455,4.549076439059224,4.521518835337766,4.508831706820399,4.471090917336803,4.422511954344336,4.382600899805409,4.35568976980086,4.338248366030855,4.324108184972432,4.315183027290346,4.299956378575454,4.282156430825933,4.271691435321528,4.263210833613907,4.216557354614958,3.833517042472166,3.6438896654387527,4.496161574065732,,,,,1879,3172.9,-0.019386977151908624,0.0008067249669492485,-0.020193702118857872,,1.425132988512025,1.535256524934963
