time,open,high,low,close,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,F1,F2,F3,F4,F5,G100,G150,G200,Kernel Regression Estimate,Buy,Sell,StopBuy,StopSell,Volume,Volume MA,MACD,Signal Line,Histogram,Cross,Main Line,Gobble Line
1733773500,4.070317572276996,4.070317572276996,4.005,4.03875,4.103647117406476,4.1401721433098775,4.109155314733452,4.101241486050088,4.0659215886468045,4.081031632329709,4.195724906452498,4.143648214924676,4.1347197390159245,4.119209754081474,4.112969239535223,4.111167334962026,4.1070924677031,4.124949183413648,4.132261504507587,4.102761172416794,4.068258357781856,4.129946660898042,4.166982069287168,4.188429513178086,4.2308480573567175,4.242339589502769,4.2028238043864485,4.167786411936813,4.132658847215737,4.107443152686906,4.086662758062085,4.057319574520464,4.0275445633063605,3.996141936513939,3.9302088146924476,3.633701763314598,3.363110841492707,4.093255454350884,,,,,97239,61594.5,-0.018412519854468457,-0.008776408112550094,-0.009636111741918363,,0.48097443688179153,0.2151312344185936
1733776200,4.054533786138498,4.054533786138498,3.98,4.0325,4.055689259299689,4.079668188353082,4.112011181973148,4.095788800875011,4.092131040700008,4.064216200422285,4.0774112933254205,4.178220450558396,4.133874997633011,4.1268166910443,4.113435163646765,4.10819590784893,4.106899790680307,4.10342080996,4.120331855139384,4.109865627694086,4.062638843026745,4.110828078860906,4.163801888133345,4.1807998296812485,4.219354331909483,4.238629241161872,4.204397943881759,4.174459819193937,4.137390836105396,4.109059127926936,4.092256004622825,4.064031848837024,4.039122888929781,4.001737086914026,3.9364825073021343,3.640369308865826,3.371475301384826,4.08656676030286,,,,,153452,67520,-0.020923538222293203,-0.010118054238487674,-0.01080548398380553,,0.522037427070744,0.23349797304516007
1733841000,4.043516893069249,4.043516893069249,3.47,3.72875,4.853944779441492,4.454817019370591,4.337760385382553,4.297494581340234,4.247419996588307,4.219099997156921,4.177034568853601,4.174477979089929,4.253300931545408,4.20588197581386,4.192919244534952,4.175144298296327,4.165561205663741,4.160260147020392,4.1534557412587665,4.152292259032702,4.107223443956684,4.1296039345621605,4.173998401021078,4.190792898753368,4.235044610389859,4.2521072970887275,4.223619962827593,4.192663349968539,4.154655277116688,4.122507428916674,4.1077378756534255,4.080252201583757,4.052135859223247,4.018331814337946,3.9511337891158287,3.653112096668597,3.3840255115699067,4.05266514170084,,,,,232013,76841.4,-0.05105671898616215,-0.016760115586769646,-0.03429660339939251,,0.9684304143644678,0.06434127820573854
1733843700,3.8861334465346244,3.96,3.8861334465346244,3.9225,3.204066440251669,4.02900560984658,4.037900159664284,4.054336899099832,4.078808953122521,4.073527737198867,4.074095203313314,4.055413552778359,4.066654474774569,4.148377482416034,4.114807836217294,4.110514844178014,4.10044600152366,4.096883008134308,4.096513899902478,4.108565863268698,4.08412880147011,4.094570282771754,4.141715916912164,4.1624718410187125,4.199115081442764,4.230806125337894,4.226664837926505,4.185936879542658,4.147196533733111,4.114505259966006,4.0993501971764905,4.075339363398028,4.048308595861842,4.016488390408209,3.949684550083015,3.657332291831175,3.3879839257759468,4.037049733357065,,,,,93401,77131.45,-0.05319559113322203,-0.022701062328976285,-0.030494528804245746,,1.300283807621266,0.46671587882525056
1733846400,3.9043167232673124,3.94,3.795,3.8724999999999996,4.057741089125622,3.630903764688645,4.038584102939595,4.042860392029618,4.05501773710499,4.075297642456371,4.071272501759832,4.072050939039852,4.055672167928056,4.065763136209673,4.140137810298722,4.110052273959657,4.106455324558598,4.097395650638086,4.094273546867063,4.121551062459196,4.092101905344396,4.084343541369127,4.1323581949317845,4.156156185689024,4.1858378273924695,4.22433742745708,4.224587419114562,4.189971476491151,4.152627572957629,4.122849607045449,4.101046330918822,4.080520765003332,4.051711635074735,4.022326034910104,3.9570832201630903,3.662389353793937,3.3961920945265316,4.017669199337966,,,,,69753,73418.85,-0.058343508225155105,-0.028199296579629954,-0.03014421164552515,,1.7474464441064674,1.0759202347749546
1733849100,3.888408361633656,3.888408361633656,3.75,3.8075,4.048043029165049,4.052892059145335,3.7699501861807807,4.040948834495958,4.043896919456705,4.053855285781665,4.071404126271896,4.068368817685483,4.069383393498209,4.054909254051755,4.064152217387432,4.132463245204251,4.105282332052378,4.1022830177447736,4.094105475873218,4.110170358244867,4.090988321824776,4.064198118060992,4.117653840692141,4.1515964255583615,4.17237033609793,4.212152943566718,4.224299346771307,4.18957989730897,4.158256450976804,4.1263187095186655,4.1032067371382235,4.083989893149249,4.056530006575536,4.028453027536936,3.9644733799269734,3.667771808210069,3.404349827441729,3.993383912024001,,,,,39715,71608.95,-0.06695794344411476,-0.034383310641579325,-0.03257463280253544,,2.0011833493575244,0.9674367684177827
1733851800,3.847954180816828,3.85,3.78,3.8075,3.8075,3.927771514582524,3.9710947060968906,3.7793376396355844,3.9942590675967664,4.004497432880586,4.018661673527142,4.038416110487908,4.039383393498209,4.043195054148388,4.032417503683411,4.0427645326051485,4.107466072496231,4.084012165477209,4.08263081656179,4.0888136582537316,4.086744315674621,4.05124221378841,4.094175362966032,4.142609035566272,4.1600730783385265,4.196844805478212,4.21641377083777,4.186886370858009,4.160598222917232,4.127167138354782,4.10140579057159,4.0861311960586955,4.059927567587597,4.036630454411282,3.968664470060958,3.6726159913960745,3.4114321069291664,3.9703851281281377,,,,,40742,69837.2,-0.07171442458096733,-0.04092800890399406,-0.030786415676973267,,2.689913251730319,2.015577342126409
1733854500,3.827727090408414,3.84,3.765,3.805,3.8142576787240285,3.810878839362014,3.8899335692963604,3.9318854492536746,3.7863216474532733,3.9642588361179762,3.977320325143936,3.993111174176752,4.013509618069701,4.01687082202079,4.0223825654734435,4.014237518270131,4.0251870823066,4.086522615798216,4.066028533026998,4.061672217807395,4.079098136716816,4.053739811206111,4.080563607832322,4.125538806825103,4.145851648608911,4.190172314096201,4.209763147121867,4.187178436546399,4.161406295928903,4.1283457321407315,4.10009504348578,4.087649361390915,4.062962168987846,4.037368403013806,3.9766981171641516,3.6769353284500266,3.4185513743224742,3.948757085273725,,,,,42414,70385.2,-0.073846128456168,-0.04773783484121738,-0.026108293614950623,,2.8453450940132203,2.132043885926235
1733857200,3.816363545204207,3.9,3.77,3.8274999999999997,3.744275081427794,3.779266380075911,3.7886775867172755,3.853518947329218,3.8943633756884983,3.7793138864490263,3.932832585447951,3.948189669679417,3.96546271942687,3.98658616440551,3.9920893910577893,3.9992069418029756,3.993471176974566,4.005121939386685,4.063706113506856,4.045976268848984,4.065725365752657,4.052501230506503,4.065969296045577,4.110796849259207,4.132682011537574,4.168639910867338,4.200220420824311,4.198973049406671,4.163508148476953,4.129137022444212,4.099829134347504,4.086538520833491,4.064693717062173,4.0397560836299915,3.98111856294782,3.680627797347562,3.4247013242368722,3.9308639282641624,,,,,31794,71448.65,-0.07168574536776084,-0.05401512425225688,-0.017670621115503965,,0.6754259964800893,0.5061030625848993
1733859900,3.8219317726021034,3.85,3.8,3.83,3.8207437440882797,3.7825094127580363,3.7930921680800354,3.796694126060025,3.8469639066810304,3.8820934370884608,3.785232437540349,3.918821480277991,3.9340290112804035,3.95099082189301,3.971509580740306,3.9778105871436655,3.985479003517228,3.9811335031969746,3.992830059700126,4.032446136820556,4.066633631303563,4.051245572233831,4.050432164985116,4.096683908900441,4.121801488021467,4.151950435321326,4.190030743750166,4.193118793078434,4.163586278813449,4.130794453937873,4.104457227021154,4.085166179403961,4.066782126278491,4.0403367612750865,3.9849784364516396,3.685890912009015,3.4319162073362124,3.914995814739771,,,,,35862,72604.2,-0.06839335020200066,-0.05956854984642712,-0.008824800355573537,,0.7051587933416925,0.5283821273962811
