time,open,high,low,close,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,F1,F2,F3,F4,F5,G100,G150,G200,Kernel Regression Estimate,Buy,Sell,StopBuy,StopSell,Volume,Volume MA,MACD,Signal Line,Histogram,Cross,Main Line,Gobble Line
1733930100,226.24290184742935,226.24290184742935,223.88130208,225.04157573,226.47918438398145,228.06251974906345,228.48906777690638,227.85169524510874,227.47511482690857,227.05317472168073,227.11682928466251,227.19160640168892,226.5009006857457,226.2737742297993,226.4112370715523,226.37846009127193,226.28939896734053,226.35777935120362,226.33870758536037,226.95102977655992,227.77107319519288,228.97303065155475,229.49883718081725,230.38411077011227,231.09426802760964,231.54676193198569,232.10174100056693,232.57993546383716,233.15485000003446,233.7106032206312,234.21521369866585,234.67023154185767,234.9556360336396,235.00563884635298,235.61464642849668,237.34010906090674,241.52522673511206,226.32995040301427,,,,,3673,7129.4,-0.6533336211141716,-0.8517383590253821,0.1984047379112105,,0.33293172448078046,0.2862357478238833
1733932800,225.64223878871468,226.02032666,224.74476154,225.54198974,223.81518546084072,225.1471849224111,226.64674165298925,227.32059719788987,227.0443932882546,226.86512659923036,226.59060482727415,226.704123806686,226.81644851937259,226.23232916325506,226.05026615989425,226.19489943732614,226.18128511970014,226.11266943116246,226.1882730918452,226.37721064710587,227.43400152139577,228.58188376520891,229.22421421277232,230.07734145397666,230.86704269083305,231.3078698714424,231.8198190818178,232.3632543167836,232.82100629365834,233.49358451059936,233.9624564075732,234.45627206996318,234.76905701807624,234.86254463533749,235.421552749924,237.20994844095824,241.38638395029275,226.24051371052872,,,,,2498,6641.4,-0.6472317950232878,-0.769868315701457,0.12263652067816921,,0.3595705610337318,0.30913830333668
1733935500,225.59211426435735,225.59211426435735,224.67607726,225.0194986425,226.8550600261829,225.33512274351182,225.7164766236684,226.6988212462876,227.22748976354796,227.01283774457576,226.86368851736557,226.62366172713897,226.72089449774134,226.82030967005343,226.28894105988505,226.11733231541805,226.24568102108418,226.22941189873512,226.16216213749624,226.1171876385034,227.2678203296186,228.2810857401528,229.13624376363535,229.84824491667422,230.6713461644141,231.13873881318807,231.624573335907,232.18230090545248,232.57833299284036,233.24839644944527,233.75298512688673,234.31157081751894,234.62021162221646,234.75553231950306,235.2523633459794,237.12392363048778,241.2651650212938,226.10953079229955,,,,,2188,6259.85,-0.678737396215638,-0.7117909556758819,0.03305355946024391,,0.4568024519445438,0.4484749387683168
1733938200,225.30580645342866,225.30580645342866,224.1364151,224.5509737625,226.14799035971132,226.5015251929471,225.60607861557835,225.82435505767904,226.58865506897178,227.0475731962416,226.88928811816567,226.77422624765998,226.57080935298046,226.66360408393817,226.75918973274983,226.2771951682037,226.11969062651735,226.23870311670092,226.2239837961326,226.09214352990733,227.06462741342392,228.00323056471453,229.0158848792072,229.5493019203715,230.41697545036945,230.9162719408643,231.42239478317052,232.00966400139652,232.39842669864473,233.03222480860052,233.56155561337232,234.0954863455373,234.46310455371034,234.70962280274262,235.09211782093834,237.01511134070714,241.15702216264972,225.94150930603718,,,,,1514,5659.8,-0.7313861331487601,-0.6731804235117649,-0.05820570963699523,-0.6731804235117649,0.4964620390208694,0.48741153118352387
1733940900,224.92839010796433,224.92839010796433,223.94017431,224.2026463625,225.4358509754068,225.79192066755905,226.14630045376705,225.56352170553538,225.74665424122404,226.39652105337734,226.81732716469287,226.707608475322,226.62551788407643,226.4573135152229,226.551990164981,226.64891150297103,226.2124763841422,226.07084493715283,226.1851796406137,226.10260781073504,226.86780921352255,227.70713210306323,228.72370296045054,229.25972942205323,230.11606773321546,230.6868202250627,231.20834791689842,231.80100622332282,232.2176973825967,232.82203181943865,233.36988923260782,233.87799981959074,234.30020435829232,234.5875232951394,234.8857715911484,236.9003937913232,241.03483118984627,225.74838278097994,,,,,3410,5560.15,-0.7866733799398844,-0.658276836362464,-0.12839654357742036,,0.5905638370753347,0.6361981594483914
1733943600,224.56551823523216,224.84288193,224.02848267,224.38171608250002,223.74732362623578,224.5915873008213,225.11038832045134,225.54655624688417,225.20028208967491,225.41343247205907,226.01806427807057,226.43357672238696,226.3786879365348,226.3376984582922,226.21095079804252,226.31826795341865,226.42571243552965,226.03639404429228,225.91594351642414,226.05410121144126,226.60088023918183,227.34260801093984,228.43406657128588,228.96151779442533,229.808129805619,230.50486943381645,230.9698092190479,231.52661942465969,232.01226981967088,232.58666657786404,233.1432484785697,233.65178047310422,234.1131756917288,234.41367192564144,234.6619044460884,236.78455867058335,240.93383649140975,225.58038103124872,,,,,2431,5520.9,-0.7927213645916424,-0.6621538176900716,-0.1305675469015708,,0.6357508716317042,0.6887485312634198
1733946300,224.4736171588661,224.69570134,224.01867063,224.344920935,224.47757709471477,224.1124503604753,224.55358389878583,224.95218551401712,225.33276041644973,225.07983125718127,225.27973884672332,225.8255033801523,226.21624343042353,226.1885768523526,226.16859651614902,226.06650298943165,226.1766763489028,226.2865599111863,225.93247291431953,225.97439492299856,226.1683206009735,227.08379467057142,228.1177232868144,228.73778248823282,229.5501657831401,230.313614463395,230.76467810280624,231.2792308597042,231.82244709368103,232.2861315881415,232.94952957099164,233.42310040812828,233.9195949138737,234.24481831798576,234.4737025854132,236.66947898157173,240.817080846005,225.41934283422853,,,,,4386,5635.15,-0.7838474335878232,-0.6845305216626767,-0.09931691192514647,,0.7199622492842996,0.78401481637195
1733949000,224.40926904693305,224.94100233,223.861678,224.4258702625,224.13262480828158,224.30510095149816,224.11917517641075,224.4483441261597,224.78827337286947,225.13273781508806,224.94451605019478,225.1363495919193,225.63740576105567,226.00788156820914,226.00167212107363,225.99893220715987,225.91774312934297,226.03067266743037,226.1429642376584,225.81868994634178,225.85140478537548,226.85456250349372,227.78211254482628,228.59274746479045,229.28602585625117,230.08303888525995,230.56142377315865,231.05488167232093,231.6135295567923,232.02190016284055,232.68438824434244,233.1926906422609,233.75137685018618,234.07399283058592,234.34087495340285,236.5617330353824,240.66326707743633,225.2774677491526,,,,,14552,6167.8,-0.7533246322937543,-0.7115185584712234,-0.04180607382253099,,0.33803757276297697,0.36811161390759395
1734013800,224.41756965471654,224.52889667,220.47652442,222.59837793000003,228.08878176226716,226.11070328527438,225.56632788842117,225.11157682287478,225.17643165338063,225.33835810443543,225.5550298075414,225.33754926420502,225.464397610847,225.88254336117666,226.1970543131237,226.17559792450626,226.1596898652448,226.07281731740954,226.16787994041857,225.9620957604468,225.90900115460084,226.74992812008338,227.59940214880936,228.5359532259797,229.0634274462611,229.8929210706709,230.39446827836534,230.90189785568842,231.48403074385683,231.88256990969543,232.50850526492147,233.0374853658731,233.5708360695276,233.9471782814697,234.25143121902644,236.4837063101176,240.53767743855622,224.98468608862,,,,,7019,6127.6,-0.8887481190297137,-0.7462226527716306,-0.14252546625808316,,0.4632188537442228,0.5044298432582022
1734016500,223.50797379235829,223.50797379235829,220.4470883,221.268846595,225.71206186095614,226.90042181161164,225.97782281050164,225.60276138155487,225.23167383049048,225.2657033546429,225.39174435536617,225.57465881421948,225.3791617749553,225.48916403585773,225.86704504297495,226.15663827544293,226.1399413042329,226.12771643636762,226.04876695364504,225.94680318808508,225.928421014685,226.59511998301724,227.35349520698114,228.28719931920637,228.81216768965712,229.62762834294332,230.19089782555565,230.71029174303155,231.29567296233574,231.71869570030157,232.31600795351105,232.86125076997578,233.36939240846675,233.79639710674766,234.14704960755753,236.40487711030917,240.39832297720642,224.58707270069897,,,,,12246,6016.7,-1.092927938766394,-0.7950664658440998,-0.29786147292229415,,0.5561237307242624,0.6056001478651062
